experiment,generator,scorer,selected_imagined_score_mean,selected_real_utility_mean,oracle_real_utility_mean,imagined_real_tail_gap,oracle_gap,high_n_regret,deployment_gate,gate_reason
controlled,good,raw,1.0498001896000158,0.9812658482939394,1.0098165415305025,0.0140932628320721,0.028550693236563,0.0,allow_high_n,utility_improves_with_confidence
controlled,mode_collapsed,raw,1.5608768028517563,0.563865562280019,1.0098165415305025,0.8407781332498417,0.4459509792504833,0.1380126628403862,collect_pilot_labels,pilot_labels_needed
controlled,optimistic,raw,1.375281237065792,0.5329077703257401,1.0098165415305025,0.6405126679383102,0.4769087712047621,0.1325801329997679,collect_pilot_labels,pilot_labels_needed
controlled,plausibility_biased,raw,1.789954940478007,0.6753896244335919,1.0098165415305025,1.0776610020305573,0.3344269170969104,0.0161952828833212,collect_pilot_labels,pilot_labels_needed
learned_diffusion_world_model,learned_diffusion_world_model,calibrated,0.6221562239030998,0.5996296033263206,1.0196756939403713,-0.0345066789903284,0.4200460906140506,0.0701791473353902,collect_pilot_labels,pilot_labels_needed
learned_diffusion_world_model,learned_diffusion_world_model,raw,1.0483630361656349,-0.7818422410055064,1.0196756939403713,1.4474802136012337,1.8015179349458776,0.9235874954223012,block_high_n,tail_rank_failure
repair,optimistic,calibrated,0.974886601480345,0.8177458673065605,1.0098165415305025,-1.0694416455668154,0.1920706742239417,0.0042600767725768,allow_high_n,utility_improves_with_confidence
repair,optimistic,consistency_aware,1.0996335364567738,0.7938229917829934,1.0098165415305025,-1.1419522540415348,0.2159935497475089,0.0161334714114976,stop_early,high_n_regret_detected
repair,optimistic,oracle,1.0571551589431087,1.0098165415305025,1.0098165415305025,0.0,0.0,0.0,allow_high_n,utility_improves_with_confidence
repair,optimistic,random,0.5879732424073154,-0.0561165219599691,1.0098165415305025,1.184595399409382,1.0659330634904711,0.2909786146095333,block_high_n,tail_rank_failure
repair,optimistic,raw,1.375281237065792,0.5329077703257401,1.0098165415305025,0.6405126679383102,0.4769087712047621,0.1325801329997679,collect_pilot_labels,pilot_labels_needed
repair,optimistic,uncertainty_aware,1.056528898732116,0.8406978704976307,1.0098165415305025,-1.8714194976765008,0.1691186710328717,0.0196362111989098,stop_early,high_n_regret_detected
